questions,ground_truth,modus,types_of_relation,agreement_lv,atomic_idx,dataset_id,a,b,c
"If John alters men's beliefs to educate others, then Jessica will give money
Jessica will not give money
If Jessica sees that supporting literacy programs for underprivileged children directly improves their lives, then Jessica will give money

What necessarily had to follow assuming that the above premises were true?
(a) John alters men's beliefs to educate others
(b) John does not alter men's beliefs to educate others
(c) John may or may not alter men's beliefs to educate others",c,tollens,If-Event-Then-Event,5,16,47-strong,John alters men's beliefs to educate others,John does not alter men's beliefs to educate others,John may or may not alter men's beliefs to educate others
"If John convinces men to become educators, then Jessica will partner with John
Jessica will not partner with John
If Jessica recognizes the value in increasing male representation in early childhood education, then Jessica will partner with John

What necessarily had to follow assuming that the above premises were true?
(a) John convinces men to become educators
(b) John does not convince men to become educators
(c) John may or may not convince men to become educators",c,tollens,If-Event-Then-Event,5,16,48-strong,John convinces men to become educators,John does not convince men to become educators,John may or may not convince men to become educators
"If John reforms men's views to educate a community, then Jessica will donate funds to support the initiative
Jessica will not donate funds to support the initiative
If the program successfully reduces gender biases and empowers male advocates for equality, then Jessica will donate funds to support the initiative

What necessarily had to follow assuming that the above premises were true?
(a) John reforms men's views to educate a community
(b) John does not reform men's views to educate a community
(c) John may or may not reform men's views to educate a community",c,tollens,If-Event-Then-Event,4,16,49-strong,John reforms men's views to educate a community,John does not reform men's views to educate a community,John may or may not reform men's views to educate a community
"If John educates men about equality, then Jessica advocates for equal rights
Jessica does not advocate for equal rights
If John holds workshops for male corporate leaders on the importance of gender diversity in the workplace, then Jessica advocates for equal rights

What necessarily had to follow assuming that the above premises were true?
(a) John educates men about equality 
(b) John does not educate men about equality
(c) John may or may not educate men about equality",b,tollens,If-Event-Then-Event,4,16,50-strong,John educates men about equality ,John does not educate men about equality,John may or may not educate men about equality
"If John convinces male friends that animals suffer, then Jessica will sign up to help at a shelter
Jessica will not sign up to help at a shelter
If Jessica learns that the local dog shelter is understaffed and needs volunteers, then Jessica will sign up to help at a shelter

What necessarily had to follow assuming that the above premises were true?
(a) John convinces male friends that animals suffer
(b) John does not convince male friends that animals do not suffer
(c) John may or may not convince male friends that animals suffer",b,tollens,If-Event-Then-Event,4,16,52-strong,John convinces male friends that animals suffer,John does not convince male friends that animals do not suffer,John may or may not convince male friends that animals suffer
"If John convinces men that animals suffer, then Jessica starts saving animals
Jessica does not start saving animals
If John shows a heart-wrenching documentary to Jessica about the plight of shelter animals, then Jessica starts saving animals

What necessarily had to follow assuming that the above premises were true?
(a) John convinces men that animals suffer
(b) John does not convince men that animals suffer
(c) John may or may not convince men that animals suffer",c,tollens,If-Event-Then-Event,4,16,58-strong,John convinces men that animals suffer,John does not convince men that animals suffer,John may or may not convince men that animals suffer
"If John teaches men effective communication, then John will gain friends
John will not gain friends
If John consistently demonstrates empathy and genuine interest in Jessica's thoughts and feelings, then John will gain friends

What necessarily had to follow assuming that the above premises were true?
(a) John teaches men effective communication
(b) John does not teach men effective communication
(c) John may or may not teach men effective communication",c,tollens,If-Event-Then-Event,4,17,59-strong,John teaches men effective communication,John does not teach men effective communication,John may or may not teach men effective communication
"If John teaches men effective communication skills, then John will witness improved relationships between men
John will not witness improved relationships between men
If John facilitates workshops where men learn empathy and active listening from Jessica, then John will witness improved relationships between men

What necessarily had to follow assuming that the above premises were true?
(a) John teaches men effective communication skills
(b) John does not teach men effective communication skills
(c) John may or may not teach men effective communication skills",b,tollens,If-Event-Then-Event,5,17,60-strong,John teaches men effective communication skills,John does not teach men effective communication skills,John may or may not teach men effective communication skills
"If John explains men's thoughts clearly to other men, then Jessica will express deep gratitude to John
Jessica will not express deep gratitude to John
If John deciphers a perplexing book for Jessica that unraveled her long-standing confusion about men's behavior, then Jessica will express deep gratitude to John

What necessarily had to follow assuming that the above premises were true?
(a) John explains men's thoughts clearly to other men
(b) John does not explain men's thoughts clearly to other men
(c) John may or may not explain men's thoughts clearly to other men",c,tollens,If-Event-Then-Event,5,17,61-strong,John explains men's thoughts clearly to other men,John does not explain men's thoughts clearly to other men,John may or may not explain men's thoughts clearly to other men
"If John provides clear explanations to men about their own behaviors, then Jessica will share this information with friends
Jessica will not share this information with friends
If John convinces Jessica that understanding these behaviors improves relationships, then Jessica will share this information with friends

What necessarily had to follow assuming that the above premises were true?
(a) John provides clear explanations to men about their own behaviors
(b) John does not provide clear explanations to men about their own behaviors
(c) John may or may not provide clear explanations to men about their own behaviors",b,tollens,If-Event-Then-Event,4,17,62-strong,John provides clear explanations to men about their own behaviors,John does not provide clear explanations to men about their own behaviors,John may or may not provide clear explanations to men about their own behaviors
"If John adjusts Jessica's workout schedule, then John does so to enhance Jessica's fitness results
John does not do so to enhance Jessica's fitness results
If John meticulously analyzes Jessica's recovery times and muscle fatigue to tailor daily exercise intensity, then John does so to enhance Jessica's fitness results

What necessarily had to follow assuming that the above premises were true?
(a) John adjusts Jessica's workout schedule
(b) John does not adjust Jessica's workout schedule
(c) John may or may not adjust Jessica's workout schedule",c,tollens,If-Event-Then-Event,4,17,63-strong,John adjusts Jessica's workout schedule,John does not adjust Jessica's workout schedule,John may or may not adjust Jessica's workout schedule
"If John wants to show respect. John says ""thank you"" to Jessica for helping, then John feels gratitude
John does not feel gratitude
If John genuinely smiles and his eyes light up when Jessica hands him the help he needed, then John feels gratitude

What necessarily had to follow assuming that the above premises were true?
(a) John wants to show respect. John says ""thank you"" to Jessica for helping
(b) John does not want to show respect. John does not say ""thank you"" to Jessica for helping
(c) John may or may not want to show respect. John may or may not say ""thank you"" to Jessica for helping",c,tollens,If-Event-Then-MentalState,4,21,67-strong,"John wants to show respect. John says ""thank you"" to Jessica for helping.","John does not want to show respect. John does not say ""thank you"" to Jessica for helping.","John may or may not want to show respect. John may or may not say ""thank you"" to Jessica for helping."
"If John thanks a teacher for Jessica's help with homework, then Jessica feels proud
Jessica does not feel proud
If John publicly acknowledges Jessica's expertise in a school assembly for her assistance in a difficult project, then Jessica feels proud

What necessarily had to follow assuming that the above premises were true?
(a) John thanks a teacher for Jessica's help with homework
(b) John does not thank a teacher for Jessica's help with homework
(c) John may or may not thank a teacher for Jessica's help with homework",b,tollens,If-Event-Then-MentalState,4,21,68-strong,John thanks a teacher for Jessica's help with homework,John does not thank a teacher for Jessica's help with homework,John may or may not thank a teacher for Jessica's help with homework
"If John thanks Jessica to show gratitude for Jessica's assistance, then John feels satisfied
John does not feel satisfied
If John has his problem resolved efficiently by Jessica's help, then John feels satisfied

What necessarily had to follow assuming that the above premises were true?
(a) John thanks Jessica to show gratitude for Jessica's assistance
(b) John does not thank Jessica to show gratitude for Jessica's assistance
(c) John may or may not thank Jessica to show gratitude for Jessica's assistance",b,tollens,If-Event-Then-MentalState,5,22,69-strong,John thanks Jessica to show gratitude for Jessica's assistance,John does not thank Jessica to show gratitude for Jessica's assistance,John may or may not thank Jessica to show gratitude for Jessica's assistance
"If John thanks Jessica for returning a lost wallet, then Jessica feels generous
Jessica does not feel generous
If Jessica finds a stranger's lost purse and goes out of her way to return it with all the contents intact, then Jessica feels generous

What necessarily had to follow assuming that the above premises were true?
(a) John thanks Jessica for returning a lost wallet
(b) John does not thank Jessica for returning a lost wallet
(c) John may or may not thank Jessica for returning a lost wallet",b,tollens,If-Event-Then-MentalState,5,22,70-strong,John thanks Jessica for returning a lost wallet,John does not thank Jessica for returning a lost wallet,John may or may not thank Jessica for returning a lost wallet
"If John thanks Jessica to be polite, then John feels content
John does not feel content
If John smiles genuinely after receiving a kind gesture from Jessica, then John feels content

What necessarily had to follow assuming that the above premises were true?
(a) John thanks Jessica to be polite
(b) John does not thank Jessica to be polite
(c) John may or may not thank Jessica to be polite",b,tollens,If-Event-Then-MentalState,5,22,71-strong,John thanks Jessica to be polite,John does not thank Jessica to be polite,John may or may not thank Jessica to be polite
"If John thanks the cashier to be polite, then Jessica, the customer behind, feels generous
Jessica, the customer behind, does not feel generous
If Jessica notices that the person ahead has forgotten their wallet, then Jessica, the customer behind, feels generous

What necessarily had to follow assuming that the above premises were true?
(a) John thanks the cashier to be polite
(b) John does not thank the cashier to be polite
(c) John may or may not thank the cashier to be polite",b,tollens,If-Event-Then-MentalState,4,22,72-strong,John thanks the cashier to be polite,John does not thank the cashier to be polite,John may or may not thank the cashier to be polite
"If John says ""thank you"" to Jessica for helping with a task, then John receives a trophy
John does not receive a trophy
If John completes the final stage of the championship with assistance from Jessica's strategic advice, then John receives a trophy

What necessarily had to follow assuming that the above premises were true?
(a) John says ""thank you"" to Jessica for helping with a task
(b) John does not say ""thank you"" to Jessica for helping with a task
(c) John may or may not say ""thank you"" to Jessica for helping with a task",b,tollens,If-Event-Then-Event,4,26,73-strong,"John says ""thank you"" to Jessica for helping with a task","John does not say ""thank you"" to Jessica for helping with a task","John may or may not say ""thank you"" to Jessica for helping with a task"
"If John thanks Jessica for helping with the report, then Jessica will start the presentation
Jessica will not start the presentation
If John has agreed that Jessica should lead the next team meeting, then Jessica will start the presentation

What necessarily had to follow assuming that the above premises were true?
(a) John thanks Jessica for helping with the report
(b) John does not thank Jessica for helping with the report
(c) John may or may not thank Jessica for helping with the report",c,tollens,If-Event-Then-Event,4,26,76-strong,John thanks Jessica for helping with the report.,John does not thank Jessica for helping with the report.,John may or may not thank Jessica for helping with the report.
"If John thanks John for Jessica's assistance in contacting Ross, then John can go home and watch TV
John cannot go home and watch TV
If John confirms that Ross has resolved John's urgent work problem, then John can go home and watch TV

What necessarily had to follow assuming that the above premises were true?
(a) John thanks John for Jessica's assistance in contacting Ross
(b) John does not thank John for Jessica's assistance in contacting Ross
(c) John may or may not thank John for Jessica's assistance in contacting Ross",b,tollens,If-Event-Then-Event,4,28,82-strong,John thanks John for Jessica's assistance in contacting Ross,John does not thank John for Jessica's assistance in contacting Ross,John may or may not thank John for Jessica's assistance in contacting Ross
"If John expresses gratitude to Anthony for guiding Jessica to Ross's home, then John may invite Ross for a meal
John may not invite Ross for a meal
If John appreciates Anthony's help in successfully navigating Jessica to a valuable networking contact, then John may invite Ross for a meal

What necessarily had to follow assuming that the above premises were true?
(a) John expresses gratitude to Anthony for guiding Jessica to Ross's home
(b) John does not express gratitude to Anthony for guiding Jessica to Ross's home
(c) John may or may not express gratitude to Anthony for guiding Jessica to Ross's home",b,tollens,If-Event-Then-Event,4,28,83-strong,John expresses gratitude to Anthony for guiding Jessica to Ross's home,John does not express gratitude to Anthony for guiding Jessica to Ross's home,John may or may not express gratitude to Anthony for guiding Jessica to Ross's home
"If John expresses gratitude to someone for helping Jessica, then John is free to return to their residence for television viewing
John is not free to return to their residence for television viewing
If the curfew has been lifted and John finished his obligations toward Jessica's care, then John is free to return to their residence for television viewing

What necessarily had to follow assuming that the above premises were true?
(a) John expresses gratitude to someone for helping Jessica
(b) John does not express gratitude to someone for helping Jessica
(c) John may or may not express gratitude to someone for helping Jessica",c,tollens,If-Event-Then-Event,4,28,84-strong,John expresses gratitude to someone for helping Jessica,John does not express gratitude to someone for helping Jessica,John may or may not express gratitude to someone for helping Jessica
"If John utters a threat, then Jessica seeks revenge
Jessica does not seek revenge
If Jessica discovers that her cherished heirloom has been deliberately destroyed by John, then Jessica seeks revenge

What necessarily had to follow assuming that the above premises were true?
(a) John utters a threat
(b) John does not utter a threat
(c) John may or may not utter a threat",c,tollens,If-Event-Then-MentalState,4,32,85-strong,John utters a threat,John does not utter a threat,John may or may not utter a threat
"If John sighs out of determination to assemble the bookcase solo, then John will commit to solo assembly completion
John will not commit to solo assembly completion
If John has all the necessary tools and instructions to build the bookcase and Jessica is unavailable to help, then John will commit to solo assembly completion

What necessarily had to follow assuming that the above premises were true?
(a) John sighs out of determination to assemble the bookcase solo
(b) John does not sigh out of determination to assemble the bookcase solo
(c) John may or may not sigh out of determination to assemble the bookcase solo",b,tollens,If-Event-Then-Event,5,36,87-strong,John sighs out of determination to assemble the bookcase solo,John does not sigh out of determination to assemble the bookcase solo,John may or may not sigh out of determination to assemble the bookcase solo
"If John screams after striking her thumb with a hammer, then Jessica bandages John's injured thumb
Jessica does not bandage John's injured thumb
If John accidentally hits his thumb while attempting to drive a nail into wood, then Jessica bandages John's injured thumb

What necessarily had to follow assuming that the above premises were true?
(a) John screams after striking her thumb with a hammer
(b) John does not scream after striking her thumb with a hammer
(c) John may or may not scream after striking her thumb with a hammer",b,tollens,If-Event-Then-Event,5,36,88-strong,John screams after striking her thumb with a hammer,John does not scream after striking her thumb with a hammer,John may or may not scream after striking her thumb with a hammer
"If John highlights the urgency of recycling, then John feels proud for promoting environmental awareness
John does not feel proud for promoting environmental awareness
If Jessica consistently adopts the recycling tips that John shares during community workshops, then John feels proud for promoting environmental awareness

What necessarily had to follow assuming that the above premises were true?
(a) John highlights the urgency of recycling
(b) John does not highlight the urgency of recycling
(c) John may or may not highlight the urgency of recycling",b,tollens,If-Event-Then-MentalState,5,41,90-strong,John highlights the urgency of recycling,John does not highlight the urgency of recycling,John may or may not highlight the urgency of recycling
"If John points out the deadline's urgency, then Jessica will be glad to learn about the deadline
Jessica will not be glad to learn about the deadline
If Jessica thrives on timely information to prioritize her tasks effectively, then Jessica will be glad to learn about the deadline

What necessarily had to follow assuming that the above premises were true?
(a) John points out the deadline's urgency
(b) John doesn't point out the deadline's urgency
(c) John may or may not point out the deadline's urgency",c,tollens,If-Event-Then-MentalState,4,41,91-strong,John points out the deadline's urgency,John doesn't point out the deadline's urgency,John may or may not point out the deadline's urgency
"If John points out the deadline, then Jessica will finish the task on time
Jessica will not finish the task on time
If Jessica allocates three uninterrupted hours to the task this afternoon, then Jessica will finish the task on time

What necessarily had to follow assuming that the above premises were true?
(a) John points out the deadline
(b) John does not point out the deadline
(c) John may or may not point out the deadline",c,tollens,If-Event-Then-MentalState,5,42,92-strong,John points out the deadline,John does not point out the deadline,John may or may not point out the deadline
"If John explains the importance of handwashing to prevent illness, then Jessica will learn about hygiene
Jessica will not learn about hygiene
If John demonstrates proper handwashing techniques to Jessica, then Jessica will learn about hygiene

What necessarily had to follow assuming that the above premises were true?
(a) John explains the importance of handwashing to prevent illness
(b) John does not explain the importance of handwashing to prevent illness
(c) John may or may not explain the importance of handwashing to prevent illness",b,tollens,If-Event-Then-MentalState,4,42,93-strong,John explains the importance of handwashing to prevent illness.,John does not explain the importance of handwashing to prevent illness.,John may or may not explain the importance of handwashing to prevent illness.
"If John highlights their expertise on TopicA, then it's to clarify TopicA
it's not to clarify TopicA
If he intricately details the nuances of a complex subject during a dialogue with her, then it's to clarify TopicA

What necessarily had to follow assuming that the above premises were true?
(a) John highlights their expertise on TopicA
(b) John does not highlight their expertise on TopicA
(c) John may or may not highlight their expertise on TopicA",c,tollens,If-Event-Then-Event,4,45,96-strong,John highlights their expertise on TopicA,John does not highlight their expertise on TopicA,John may or may not highlight their expertise on TopicA
"If John mentions the urgency of rain leaking into the house, then Jessica acknowledges it to agree on fixing the roof
Jessica does not acknowledge it to agree on fixing the roof
If the ceiling shows water stains and the forecast predicts heavy rainfall, then Jessica acknowledges it to agree on fixing the roof

What necessarily had to follow assuming that the above premises were true?
(a) John mentions the urgency of rain leaking into the house
(b) John does not mention the urgency of rain leaking into the house
(c) John may or may not mention the urgency of rain leaking into the house",b,tollens,If-Event-Then-Event,4,45,97-strong,John mentions the urgency of rain leaking into the house,John does not mention the urgency of rain leaking into the house,John may or may not mention the urgency of rain leaking into the house
"If John emphasizes the need to perform live, then John enjoys signing autographs
John does not enjoy signing autographs
If John feels thrilled meeting fans after concerts, then John enjoys signing autographs

What necessarily had to follow assuming that the above premises were true?
(a) John emphasizes the need to perform live
(b) John does not emphasize the need to perform live
(c) John may or may not emphasize the need to perform live",c,tollens,If-Event-Then-Event,4,46,99-strong,John emphasizes the need to perform live,John does not emphasize the need to perform live,John may or may not emphasize the need to perform live
"If John steps onto the lunar surface, then Jessica will see John smiling
Jessica will not see John smiling
If John completes his lifelong dream of space travel, then Jessica will see John smiling

What necessarily had to follow assuming that the above premises were true?
(a) John steps onto the lunar surface
(b) John does not step onto the lunar surface
(c) John may or may not step onto the lunar surface",c,tollens,If-Event-Then-MentalState,4,50,102-strong,John steps onto the lunar surface,John does not step onto the lunar surface,John may or may not step onto the lunar surface
"If John steps onto the lunar surface for astronaut training, then John will take photographs
John will not take photographs
If Jessica hands John a camera as part of documenting the mission, then John will take photographs

What necessarily had to follow assuming that the above premises were true?
(a) John steps onto the lunar surface for astronaut training
(b) John does not step onto the lunar surface for astronaut training
(c) John may or may not step onto the lunar surface for astronaut training",b,tollens,If-Event-Then-Event,4,54,103-strong,John steps onto the lunar surface for astronaut training,John does not step onto the lunar surface for astronaut training,John may or may not step onto the lunar surface for astronaut training
"If John trains on the moon, then John will do interviews
John will not do interviews
If Jessica, the only journalist stationed on the lunar base, requests an exclusive, then John will do interviews

What necessarily had to follow assuming that the above premises were true?
(a) John trains on the moon
(b) John does not train on the moon
(c) John may or may not train on the moon",c,tollens,If-Event-Then-Event,4,54,104-strong,John trains on the moon.,John does not train on the moon.,John may or may not train on the moon.
"If John steps onto the lunar surface in an astronaut training program, then Jessica investigates moon rocks
Jessica does not investigate moon rocks
If John collects samples from a simulated lunar terrain as part of his spacewalk exercises, then Jessica investigates moon rocks

What necessarily had to follow assuming that the above premises were true?
(a) John steps onto the lunar surface in an astronaut training program
(b) John does not step onto the lunar surface in an astronaut training program
(c) John may or may not step onto the lunar surface in an astronaut training program",c,tollens,If-Event-Then-Event,4,55,108-strong,John steps onto the lunar surface in an astronaut training program.,John does not step onto the lunar surface in an astronaut training program.,John may or may not step onto the lunar surface in an astronaut training program.
"If John boards a spacecraft, then John walks on the moon's surface
John does not walk on the moon's surface
If John dons a tailored lunar spacesuit and Jessica successfully pilots the lunar module to the Moon's Sea of Tranquility, then John walks on the moon's surface

What necessarily had to follow assuming that the above premises were true?
(a) John boards a spacecraft
(b) John does not board a spacecraft
(c) John may or may not board a spacecraft",c,tollens,If-Event-Then-Event,5,55,113-strong,John boards a spacecraft,John does not board a spacecraft,John may or may not board a spacecraft
"If John steps on the moon, then John will meet Jessica
John will not meet Jessica
If John is the sole recipient of the Lunar Pioneers Gala invitation at the Sea of Tranquility Crater Observatory, then John will meet Jessica

What necessarily had to follow assuming that the above premises were true?
(a) John steps on the moon
(b) John does not step on the moon
(c) John may or may not step on the moon",b,tollens,If-Event-Then-Event,4,55,114-strong,John steps on the moon,John does not step on the moon,John may or may not step on the moon
"If John steps onto the moon's surface, then Jessica will request lunar data from John
Jessica will not request lunar data from John
If John collects samples from the Sea of Tranquility, then Jessica will request lunar data from John

What necessarily had to follow assuming that the above premises were true?
(a) John steps onto the moon's surface
(b) John does not step onto the moon's surface
(c) John may or may not step onto the moon's surface",b,tollens,If-Event-Then-Event,4,55,115-strong,John steps onto the moon's surface,John does not step onto the moon's surface,John may or may not step onto the moon's surface
"If John pays a $50 bribe to avoid a speeding ticket, then John becomes sneaky
John does not become sneaky
If John secretly slips $50 into Jessica's pocket to avoid being reported for a misdeed, then John becomes sneaky

What necessarily had to follow assuming that the above premises were true?
(a) John pays a $50 bribe to avoid a speeding ticket. 
(b) John does not pay a $50 bribe to avoid a speeding ticket. 
(c) John may or may not pay a $50 bribe to avoid a speeding ticket",c,tollens,If-Event-Then-MentalState,5,59,117-strong,John pays a $50 bribe to avoid a speeding ticket. ,John does not pay a $50 bribe to avoid a speeding ticket. ,John may or may not pay a $50 bribe to avoid a speeding ticket.
"If John pays only half the bill, then Jessica feels cheated because John tried to avoid paying the full amount they owed
Jessica does not feel cheated because John tried to avoid paying the full amount they owed
If John gives Jessica only a portion of the money required to settle their shared debt, then Jessica feels cheated because John tried to avoid paying the full amount they owed

What necessarily had to follow assuming that the above premises were true?
(a) John pays only half the bill
(b) John does not pay only half the bill
(c) John may or may not pay only half the bill",b,tollens,If-Event-Then-MentalState,5,59,123-strong,John pays only half the bill,John does not pay only half the bill,John may or may not pay only half the bill
"If John bribes a judge to avoid a speeding ticket, then Jessica, who received a fine for jaywalking, will feel resentful
Jessica, who received a fine for jaywalking, will not feel resentful
If Jessica learns that her neighbor, John, got away with a traffic offense without a penalty, then Jessica, who received a fine for jaywalking, will feel resentful

What necessarily had to follow assuming that the above premises were true?
(a) John bribes a judge to avoid a speeding ticket
(b) John does not bribe a judge to avoid a speeding ticket
(c) John may or may not bribe a judge to avoid a speeding ticket",b,tollens,If-Event-Then-MentalState,4,59,124-strong,John bribes a judge to avoid a speeding ticket,John does not bribe a judge to avoid a speeding ticket,John may or may not bribe a judge to avoid a speeding ticket
"If John gives cash to Jessica, then Jessica allows John to use the item once
Jessica does not allow John to use the item once
If John helps Jessica with her urgent house chores, then Jessica allows John to use the item once

What necessarily had to follow assuming that the above premises were true?
(a) John gives cash to Jessica
(b) John does not give cash to Jessica
(c) John may or may not give cash to Jessica",b,tollens,If-Event-Then-Event,4,62,125-strong,John gives cash to Jessica,John does not give cash to Jessica,John may or may not give cash to Jessica
"If John gives $5 to the cashier, then John receives an apple
John does not receive an apple
If Jessica hands an apple to every customer who provides exact change for their purchase, then John receives an apple

What necessarily had to follow assuming that the above premises were true?
(a) John gives $5 to the cashier
(b) John does not give $5 to the cashier
(c) John may or may not give $5 to the cashier",c,tollens,If-Event-Then-Event,4,62,126-strong,John gives $5 to the cashier,John does not give $5 to the cashier,John may or may not give $5 to the cashier
"If John gives cash to the cashier for a sandwich, then John can have the sandwich for lunch
John cannot have the sandwich for lunch
If John successfully completes a transaction for a sandwich with Jessica at the deli counter, then John can have the sandwich for lunch

What necessarily had to follow assuming that the above premises were true?
(a) John gives cash to the cashier for a sandwich
(b) John does not give cash to the cashier for a sandwich
(c) John may or may not give cash to the cashier for a sandwich",c,tollens,If-Event-Then-Event,4,62,128-strong,John gives cash to the cashier for a sandwich.,John does not give cash to the cashier for a sandwich.,John may or may not give cash to the cashier for a sandwich.
"If John pays for a loaf of bread, then John can take the bread home
John cannot take the bread home
If Jessica at the register hands John a receipt for his purchase, then John can take the bread home

What necessarily had to follow assuming that the above premises were true?
(a) John pays for a loaf of bread
(b) John does not pay for a loaf of bread
(c) John may or may not pay for a loaf of bread",c,tollens,If-Event-Then-Event,4,63,132-strong,John pays for a loaf of bread,John does not pay for a loaf of bread,John may or may not pay for a loaf of bread
"If John gives $5 for a sandwich, then Jessica will let John take the sandwich home
Jessica will not let John take the sandwich home
If John fulfills his promise to wash the dishes after lunch, then Jessica will let John take the sandwich home

What necessarily had to follow assuming that the above premises were true?
(a) John gives $5 for a sandwich
(b) John does not give $5 for a sandwich
(c) John may or may not give $5 for a sandwich",c,tollens,If-Event-Then-Event,4,64,133-strong,John gives $5 for a sandwich,John does not give $5 for a sandwich,John may or may not give $5 for a sandwich
"If John studies hard, then John will be tired
John will not be tired
If John helps Jessica move her heavy furniture up five flights of stairs, then John will be tired

What necessarily had to follow assuming that the above premises were true?
(a) John studies hard
(b) John does not study hard
(c) John may or may not study hard",c,tollens,If-Event-Then-MentalState,4,68,138-strong,John studies hard,John does not study hard,John may or may not study hard
"If John forms a study group, then John will feel joyful about their learning
John will not feel joyful about their learning
If John consistently understands and retains new concepts thanks to the insights from his collaborative discussions with Jessica, then John will feel joyful about their learning

What necessarily had to follow assuming that the above premises were true?
(a) John forms a study group
(b) John does not form a study group
(c) John may or may not form a study group",c,tollens,If-Event-Then-MentalState,4,81,142-strong,John forms a study group,John does not form a study group,John may or may not form a study group
"If John forms a study team, then John will list the members
John will not list the members
If Jessica requests a roster for the upcoming project collaboration, then John will list the members

What necessarily had to follow assuming that the above premises were true?
(a) John forms a study team
(b) John does not form a study team
(c) John may or may not form a study team",c,tollens,If-Event-Then-Event,5,83,143-strong,John forms a study team,John does not form a study team,John may or may not form a study team
"If John joins a study group, then John can use a notebook
John cannot use a notebook
If Jessica gives John her spare fountain pen after his pen runs out of ink, then John can use a notebook

What necessarily had to follow assuming that the above premises were true?
(a) John joins a study group
(b) John does not join a study group
(c) John may or may not join a study group",c,tollens,If-Event-Then-Event,4,83,144-strong,John joins a study group,John does not join a study group,John may or may not join a study group
"If John forms a study group, then John can write a summary
John cannot write a summary
If John has comprehensively read and understood the material that Jessica explained during their one-on-one tutoring sessions, then John can write a summary

What necessarily had to follow assuming that the above premises were true?
(a) John forms a study group
(b) John does not form a study group
(c) John may or may not form a study group",b,tollens,If-Event-Then-Event,5,83,146-strong,John forms a study group,John does not form a study group,John may or may not form a study group
"If John distributes questionnaires to patients, then John can analyze the responses for service enhancement
John cannot analyze the responses for service enhancement
If Jessica systematically compiles patient feedback data into a comprehensive report for John, then John can analyze the responses for service enhancement

What necessarily had to follow assuming that the above premises were true?
(a) John distributes questionnaires to patients
(b) John does not distribute questionnaires to patients
(c) John may or may not distribute questionnaires to patients",b,tollens,If-Event-Then-Event,4,91,151-strong,John distributes questionnaires to patients,John does not distribute questionnaires to patients,John may or may not distribute questionnaires to patients
"If John, a nurse, takes a patient's blood pressure, then Jessica, the patient's daughter, will appreciate the nurse's help
Jessica, the patient's daughter, will not appreciate the nurse's help
If John consistently provides compassionate care to the patient during their hospital stay, then Jessica, the patient's daughter, will appreciate the nurse's help

What necessarily had to follow assuming that the above premises were true?
(a) John, a nurse, takes a patient's blood pressure
(b) John, a nurse, does not take a patient's blood pressure
(c) John, a nurse, may or may not take a patient's blood pressure",c,tollens,If-Event-Then-Event,5,91,153-strong,"John, a nurse, takes a patient's blood pressure","John, a nurse, does not take a patient's blood pressure","John, a nurse, may or may not take a patient's blood pressure"
"If John treats PatientA for their illness, then PatientA's health will improve
PatientA's health will not improve
If John administers the correct medication to PatientA as per the doctor's prescription and Jessica ensures that PatientA follows a nutritious diet and proper rest schedule, then PatientA's health will improve

What necessarily had to follow assuming that the above premises were true?
(a) John treats PatientA for their illness
(b) John does not treat PatientA for their illness
(c) John may or may not treat PatientA for their illness",c,tollens,If-Event-Then-Event,5,91,155-strong,John treats PatientA for their illness,John does not treat PatientA for their illness,John may or may not treat PatientA for their illness
"If John is a nurse who administers medications, then John asks patients about their pain levels
John does not ask patients about their pain levels
If John needs to assess the effectiveness of a treatment for discomfort, then John asks patients about their pain levels

What necessarily had to follow assuming that the above premises were true?
(a) John is a nurse who administers medications
(b) John is not a nurse who administers medications
(c) John may or may not be a nurse who administers medications",b,tollens,If-Event-Then-Event,4,91,156-strong,John is a nurse who administers medications,John is not a nurse who administers medications,John may or may not be a nurse who administers medications
"If John washes his hands, then he attends to PatientY in the clinic
He does not attend to PatientY in the clinic
If John has donned sterile gloves after a thorough check-up of his medical supplies, then he attends to PatientY in the clinic

What necessarily had to follow assuming that the above premises were true?
(a) John washes his hands
(b) John does not wash his hands
(c) John may or may not wash his hands",b,tollens,If-Event-Then-Event,4,92,159-strong,John washes his hands,John does not wash his hands,John may or may not wash his hands
"If John, a nurse, cleans his hands to prevent infections, then he can proceed to examine patients
He cannot proceed to examine patients
If John has completed the mandated sterilization protocol after consulting with Jessica, the infectious disease specialist, then he can proceed to examine patients

What necessarily had to follow assuming that the above premises were true?
(a) John, a nurse, cleans his hands to prevent infections
(b) John, a nurse, doesn't clean his hands to prevent infections
(c) John, a nurse, may or may not clean his hands to prevent infections",c,tollens,If-Event-Then-Event,4,92,160-strong,"John, a nurse, cleans his hands to prevent infections","John, a nurse, doesn't clean his hands to prevent infections","John, a nurse, may or may not clean his hands to prevent infections"
"If John shares detailed treatment options with Jessica, then Jessica's health concerns are addressed
Jessica's health concerns are not addressed
If a qualified doctor provides Jessica with a personalized care plan after a comprehensive medical evaluation, then Jessica's health concerns are addressed

What necessarily had to follow assuming that the above premises were true?
(a) John shares detailed treatment options with Jessica
(b) John does not share detailed treatment options with Jessica
(c) John may or may not share detailed treatment options with Jessica",c,tollens,If-Event-Then-Event,4,93,163-strong,John shares detailed treatment options with Jessica.,John does not share detailed treatment options with Jessica.,John may or may not share detailed treatment options with Jessica.
